Year,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Bobcats,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Hornets,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards
1980,2.82231405,7.367768595,-0.984504132,NA,-2.629132231,0.424586777,NA,-4.220041322,-7.575413223,-4.19731405,0.265495868,-0.541322314,-3.970041322,5.393595041,NA,NA,3.564049587,NA,NA,-0.96177686,4.234504132,NA,4.03822314,3.245867769,-0.867768595,2.814049587,-0.245867769,NA,-5.708677686,-2.268595041
1981,-2.369182275,6.051287861,-5.149903672,NA,2.343314077,-4.150807891,-8.333793261,-0.947429625,-5.579915177,-1.409042707,-0.197429625,1.720873629,-1.784042707,3.272775475,NA,NA,7.14316136,NA,NA,2.002415261,-1.840860889,NA,7.763856392,4.829593657,0.522775475,-0.49288417,2.177570375,NA,-5.99288417,0.420552609
1982,0.807431972,6.347777621,0.865461768,NA,-1.571649235,-7.769724098,-4.484057168,0.129579196,-0.630131351,0.801003808,-0.393148077,-1.486880435,-7.051268919,4.369185626,NA,NA,5.379758505,NA,NA,-2.15447323,3.687367444,NA,5.735769108,3.051003808,0.391912899,-3.245420804,1.788670105,NA,-5.63178444,1.063615897
1983,-0.723706619,5.340713757,2.773465123,NA,-4.405759198,-6.778459266,-0.699466162,0.266442929,-0.167626288,-3.483834233,-11.11992071,-5.359660109,-4.608834233,5.061620312,NA,NA,4.320086736,NA,NA,2.583487013,2.879802131,NA,7.526767167,4.607074858,1.879802131,1.039170201,3.095988383,NA,-4.222193435,0.19503951
1984,-1.077499282,6.422220516,1.267931732,NA,-4.686601811,-3.710419787,0.152463125,-1.26799142,3.523731694,-3.350585655,-3.120264147,-4.245898327,-3.214222019,3.31986889,NA,NA,4.034983545,NA,NA,3.789020683,-0.339222019,NA,2.390043233,0.649414345,3.126687072,-1.620264147,-0.495264147,NA,0.811554035,-2.359686108
1985,-1.136232637,6.466955869,0.640657316,NA,-0.496319484,-2.269498518,1.802238986,2.052238986,2.727386193,-7.210094717,1.38178444,-5.456171385,-4.551003808,6.483087101,NA,NA,6.69629012,NA,NA,-4.088312527,-5.437367444,NA,4.173690069,-2.335094717,2.801268919,-2.709124651,0.63178444,NA,-0.322761014,0.154598463
1986,2.591225827,9.057781219,-1.386433127,NA,-3.115005762,-2.18525547,0.697429625,0.890611443,1.442934656,-3.590957293,2.106520534,-2.661487728,-6.829593657,6.840860889,NA,NA,8.689709353,NA,NA,-4.818639635,-0.465957293,NA,2.465187001,-3.159139111,0.613588162,-3.188934011,-2.052570375,NA,-0.666206739,-1.275668509
1987,7.187650794,6.576747919,-4.41329147,NA,1.268955106,-3.182662586,5.546460764,-1.135357418,3.515802225,-2.531144558,0.603278945,-0.167801304,-10.99705365,8.321128169,NA,NA,4.045231428,NA,NA,-5.415483859,0.082491806,NA,0.11961276,-2.622053649,2.571128169,-3.328539236,-5.078539236,NA,0.046460764,-1.013021883
1988,4.021368864,6.154022101,-6.983895219,NA,3.75560906,1.275945565,3.591873132,3.319145859,5.461324785,-8.380410682,0.819145859,-0.177716545,-10.24404705,4.812771137,NA,NA,1.2135843,NA,NA,0.137207743,1.290043864,NA,-0.785057914,-4.800865227,3.585498409,-5.83994505,-5.021763231,NA,2.955509496,-0.159349263
1989,5.263047257,1.25978323,-5.689947249,NA,2.130268009,7.949046247,-1.790980861,0.913564593,6.244165673,-0.589862707,0.220382775,-2.994788688,-9.499598095,6.384054713,NA,-11.13188995,4.114928168,NA,-7.735227478,3.625478932,2.440768884,NA,1.682953166,6.838252081,0.919363739,-5.349820721,-7.45007177,NA,4.015837321,-1.769707267
1990,0.636510217,3.22722232,-7.818232225,NA,2.739958493,-0.616363346,0.419233315,1.561980038,5.40662516,-2.550886246,1.704762104,-0.179581737,-2.802168975,6.738674745,NA,-9.593470069,-1.064639208,-3.602435162,-7.006091804,0.781529931,1.395710124,-8.731305875,4.231714921,7.089812874,6.479498181,-4.415229684,3.574943323,NA,4.819604573,-2.427375989
1991,0.715421456,5.21229152,-4.535594315,NA,8.565996169,-2.330555556,-4.270813267,-10.31624937,3.071743295,1.715550294,3.269957524,-0.376532567,-3.162626179,6.729792082,NA,-5.910594315,2.324616858,-3.748393776,-4.951245211,-0.437682053,1.308801887,-3.794905404,-0.392227508,6.489813042,8.470176032,-6.277794421,4.298117852,NA,3.177462595,-4.844526662
1992,-1.146604354,3.4156656,-1.541092872,NA,10.0682103,5.340417763,-7.463597702,-7.582651613,2.057730263,3.766746488,-1.940870429,1.851593141,1.100079821,-0.94589719,NA,-3.936441709,-1.459531834,-6.845733008,-3.571345542,3.668539163,1.858700511,-6.517837058,-1.340385786,5.686286718,6.939160281,-5.62405811,2.813357901,NA,5.701439296,-4.351880039
1993,-0.666394525,0.933157421,1.202853977,NA,6.192639744,6.301607552,-14.67633163,-2.142240721,-1.102748271,-0.93960728,3.571025664,1.774198872,0.324760536,-1.203975096,NA,-0.93362009,-3.263025239,-7.622156155,-0.023541005,5.872476157,6.65809387,1.345649872,-5.254280056,6.267289272,2.922461686,-2.997078544,2.2073893,NA,1.741480209,-6.49008552
1994,4.942260107,-4.274640681,2.112309367,NA,2.870839109,3.636149261,-8.192737452,1.538235064,-7.454693614,1.756289911,4.19402259,3.26005727,-5.278192848,-3.933365262,NA,2.401295646,-6.241066798,-6.545010179,-0.22583079,6.484381449,8.67583014,3.677198781,-7.373812266,4.67583014,2.59537037,-5.32416986,5.0495987,NA,4.103113499,-7.129261655
1995,1.053884449,-1.923238307,-3.28202894,NA,4.310803656,0.547546485,-2.396188141,0.94894928,-7.087895713,-4.90892401,2.318135326,3.345089669,-8.437659642,-0.012372286,NA,-1.851796381,-4.302939331,-8.221505266,2.860701391,2.777911118,7.907167944,6.438901293,-5.066713628,3.849696679,3.792225415,-0.74800447,5.897680781,NA,7.751539132,-5.560966502
1996,1.284009252,-3.372569307,-4.14114319,NA,11.79907685,2.487832235,-4.711708099,-2.618684844,2.448780138,-1.421010425,1.625501203,3.101952431,-3.467522053,4.206896552,-9.548917402,1.454613515,-4.927819682,-5.141940658,-0.487084715,2.237325256,7.392943063,5.394467512,-9.455224337,0.276663994,2.206896552,-2.618684844,5.974338412,-7.20514168,6.241780273,0.984374
1997,5.515399174,-6.618033501,-3.888471034,NA,10.6971436,2.31581745,-6.472734563,-6.402967121,5.444615359,-4.902967121,3.852846832,1.490236054,-2.658781075,3.655172414,-10.17040898,5.558254707,-1.380950033,-1.821571772,2.12986841,3.30534629,6.910986367,-0.071765577,-5.887094769,0.213311949,3.562149158,-3.635525261,-7.926222935,-2.555368638,7.969125902,1.772588717
1998,3.852521283,-1.960771306,1.885320318,NA,7.244614569,3.062595858,-6.328388132,-11.73536488,1.949714752,-9.200481155,-1.223736969,6.251310654,-7.52606255,6.880914194,-7.467923015,5.093570349,-1.329601788,0.171611868,2.454548775,2.743342707,6.334402566,-0.527659694,-1.889044,4.439053729,0.834402566,-5.828388132,3.299518845,-8.324565607,5.729751403,1.114792785
1999,2.819832612,-1.749656121,-3.200416055,NA,-8.5807915,-0.942036829,-2.500583074,-6.668934909,3.967253088,-2.631335478,1.392152824,3.862758621,-8.942890705,2.674574187,-8.935455045,5.105632362,1.658093528,-0.170806839,0.632340507,1.453101359,-1.432495243,3.110403297,2.557029281,2.149317815,5.666093006,-0.887040822,7.120305161,-1.314553588,5.535027047,-1.746918488
2000,-5.410707599,-0.996131734,-1.179046191,NA,-9.229187332,-3.636837209,-0.283881315,-1.760625501,1.134755477,-7.621090617,-0.562951083,4.156373819,-10.72574178,8.413793103,-5.097834804,2.750096389,-0.053633254,2.669607057,2.337894085,1.302949861,1.169607057,0.43169672,1.022384715,5.239374499,6.367281476,3.04170008,5.92542101,-0.457659163,4.518444266,-3.466052033
2001,-5.549067054,-2.398765099,-5.303141579,NA,-9.089663897,-4.478606538,4.603047314,-1.827185245,-2.082451196,-8.106255012,2.707698476,-0.769997286,-2.234161989,3.742582197,-4.943464314,1.724476766,3.132936181,1.812349639,1.450851897,1.980942685,0.544907779,0.383725184,3.633220876,2.626303128,4.521651965,6.068163593,7.917000802,1.686713342,4.998396151,-6.752208766
2002,-4.413669931,1.744448848,3.66920798,NA,-8.523320875,-3.52531819,4.412590217,-5.192060946,1.68711676,-4.796712109,-4.308340016,-0.070691492,-0.087409783,7.145148356,-6.738572574,-1.845758225,-0.620974941,3.575380914,0.565331986,-4.147739198,3.238171612,1.251878339,1.270958269,-0.296712109,3.203287891,7.610264635,6.273055333,-0.706496127,1.203287891,-1.576352513
2003,-3.869318179,-0.745170949,4.42249251,NA,-5.304230044,-9.583299811,7.905773857,-7.408179631,2.977569455,-0.594226143,1.89414595,2.791522944,-3.443063352,2.708099439,-2.594226143,-5.128011882,-0.240514021,2.463913392,1.52101124,-1.604756068,0.370890136,-0.390017406,1.763656655,1.568564555,2.975541299,6.684843625,5.649959904,-6.092035319,2.766238974,-1.467174988
2004,-5.001771037,-1.99324243,1.875278339,NA,-6.685476761,-3.066200269,4.861267041,1.651964715,5.035360253,-0.068965517,2.279871692,4.932292493,-3.743384122,4.349639134,2.954290297,-0.129415046,0.418697208,5.861267041,-0.720640673,-1.969145975,0.024057739,-7.251020725,-2.947510368,-2.94105854,-0.580593424,5.407778669,7.512429832,-3.414982904,-0.534081796,-6.116704864
2005,-9.618542466,0.343809356,-1.823188457,-6.15512581,0.647534617,0.27037978,5.852864064,2.223647632,3.30825014,-1.740101103,4.263895883,0.486140419,-0.470863317,-2.327571665,2.632123411,5.761249021,-3.090082734,1.725604214,-6.301491474,-2.72578017,2.587170994,-2.518707144,-1.075353755,7.076859188,-3.451739657,2.553740389,7.835147799,-1.811550466,-3.742619691,-0.715698998
2006,-4.689356573,-1.591503714,1.107708999,-3.901235651,0.511482259,2.170006113,5.962727333,0.356476195,6.233625396,-1.109332844,-1.305796511,1.620504742,1.75030275,2.525204881,3.738227434,3.592695989,-1.073713747,-1.746952107,-2.511052256,-6.298522659,-2.881026778,-1.258493352,-2.105319413,5.477982831,-8.912685547,1.608223335,6.689703522,-3.031410831,-2.492002239,1.563532444
2007,-4.861419607,-3.706283407,-0.999541296,-3.969805243,4.519699216,3.328604682,7.275662926,1.689761345,3.681712537,-0.005406689,5.035081113,-2.624140418,-0.075127197,0.238088338,-4.442577142,-1.20983528,-4.436828399,-3.161908215,-1.196336785,-3.063256629,-2.44899443,0.343917608,-3.261961545,7.273352934,-3.783860556,-1.352335958,8.347217507,0.607233354,3.057382808,-0.798095573
2008,-2.227775663,9.307344394,-5.145892098,-4.483777914,-3.190572685,-0.524284636,4.702682114,3.738861461,6.67124284,2.381406984,4.834908231,-1.863445485,-6.560251189,7.344553012,-5.751514249,-8.529391083,-6.911987653,-6.25381447,5.464778159,-6.542737107,-8.037091181,4.788360419,0.188382548,5.138390115,-0.520122469,-1.854098922,5.103907649,2.469092739,6.867404755,-0.604558616
2009,1.705240249,7.443882438,-2.305240928,-1.194110904,-0.158826261,8.680389188,1.683153701,3.1287115,-0.358767531,-3.797168929,3.733003162,-0.754791789,-8.46195629,7.112943719,-5.222093376,0.493697365,-0.873876623,-4.736222615,1.410465406,-2.329286662,-6.033749139,6.485900003,0.162885704,1.62206251,5.000089381,-8.593341328,3.361344123,-2.533351664,2.309424842,-6.980409252
2010,4.440034128,3.373140975,-8.926108203,1.300474261,-1.632407421,6.173424271,2.669485883,4.152827356,-5.017184187,-3.274473339,-0.01257528,-3.103747006,-6.007339184,4.782049383,-1.382310953,1.996999753,1.378327042,-9.056207432,-2.264231709,-4.004693186,3.554765202,7.121529633,-3.924740206,4.677407838,3.179836466,-4.05939073,5.072171742,-1.826329538,5.334651424,-4.715386982
2011,-1.096561061,4.82516806,-6.281046371,-4.077859694,6.532002509,-8.877621506,4.407577951,4.805482318,-3.781584154,-2.003973725,2.373793132,-1.374699713,-2.714489247,6.008153827,2.54548149,6.756026302,-1.014763803,-5.968899042,1.278859066,0.482837398,3.811917511,4.924493181,1.00548157,-0.458243362,1.845326636,-4.802876064,5.86333598,-6.275297801,-1.441446471,-7.296574919
2012,2.671124375,2.260150904,-6.372609514,-13.95789508,7.426755516,-7.341105271,1.782300304,3.164254342,-5.184556294,-2.792096715,0.573413953,2.594795313,2.822793951,1.963202278,2.43042763,5.719413448,-0.227668101,-1.825880133,-3.106975827,2.387490864,6.441219453,0.462402142,3.593133153,0.289424735,-0.214594767,-4.947720847,7.277665511,-3.665594536,0.920343909,-5.143614695
2013,-0.075638477,-0.617898643,1.252628633,-9.29262401,-0.014339641,-4.87182931,-0.236631737,5.368997039,-4.32434884,1.316300985,3.692642605,3.34126612,6.431302188,1.483718339,4.324937905,7.030458083,-1.824885256,-1.827683083,-3.113679696,3.732538493,9.149670593,-7.121576297,-3.509587358,-5.748069413,-2.523920047,-4.25388702,6.66923886,-1.95560769,0.300395816,-2.781889141
