Year,Team.ID,Team.Name,Rating,Lower.Bound,Upper.Bound
1980,1,Atlanta Hawks,2.82231405,-0.749513801,6.3941419
1981,1,Atlanta Hawks,-2.369182275,-5.942858158,1.204493607
1982,1,Atlanta Hawks,0.807431972,-2.65546976,4.270333705
1983,1,Atlanta Hawks,-0.723706619,-4.114455829,2.667042591
1984,1,Atlanta Hawks,-1.077499282,-4.714430207,2.559431642
1985,1,Atlanta Hawks,-1.136232637,-4.809297102,2.536831828
1986,1,Atlanta Hawks,2.591225827,-1.101041272,6.283492927
1987,1,Atlanta Hawks,7.187650794,3.379899824,10.99540176
1988,1,Atlanta Hawks,4.021368864,0.204160184,7.838577545
1989,1,Atlanta Hawks,5.263047257,1.302914701,9.223179813
1990,1,Atlanta Hawks,0.636510217,-3.151026321,4.424046755
1991,1,Atlanta Hawks,0.715421456,-3.019726664,4.450569575
1992,1,Atlanta Hawks,-1.146604354,-1.146604354,-1.146604354
1993,1,Atlanta Hawks,-0.666394525,-4.422883398,3.090094347
1994,1,Atlanta Hawks,4.942260107,1.140632989,8.743887224
1995,1,Atlanta Hawks,1.053884449,-2.687056863,4.794825761
1996,1,Atlanta Hawks,1.284009252,-2.291620873,4.859639376
1997,1,Atlanta Hawks,5.515399174,2.052241806,8.978556542
1998,1,Atlanta Hawks,3.852521283,0.291655436,7.413387129
1999,1,Atlanta Hawks,2.819832612,-2.18046477,7.820129995
2000,1,Atlanta Hawks,-5.410707599,-9.040408882,-1.781006315
2001,1,Atlanta Hawks,-5.549067054,-9.106240856,-1.991893252
2002,1,Atlanta Hawks,-4.413669931,-8.22353402,-0.603805842
2003,1,Atlanta Hawks,-3.869318179,-7.524593618,-0.214042739
2004,1,Atlanta Hawks,-5.001771037,-8.52478901,-1.478753064
2005,1,Atlanta Hawks,-9.618542466,-13.14633961,-6.09074532
2006,1,Atlanta Hawks,-4.689356573,-8.275972275,-1.10274087
2007,1,Atlanta Hawks,-4.861419607,-8.576651264,-1.14618795
2008,1,Atlanta Hawks,-2.227775663,-5.890935003,1.435383677
2009,1,Atlanta Hawks,1.705240249,-1.925998193,5.336478691
2010,1,Atlanta Hawks,4.440034128,0.733269488,8.146798769
2011,1,Atlanta Hawks,-1.096561061,-4.640050887,2.446928764
2012,1,Atlanta Hawks,2.671124375,-1.596007313,6.938256064
2013,1,Atlanta Hawks,-0.075638477,-3.816844281,3.665567328
1980,2,Boston Celtics,7.367768595,3.795940744,10.93959645
1981,2,Boston Celtics,6.051287861,2.477611978,9.624963744
1982,2,Boston Celtics,6.347777621,2.884875888,9.810679353
1983,2,Boston Celtics,5.340713757,1.949964547,8.731462967
1984,2,Boston Celtics,6.422220516,2.785289592,10.05915144
1985,2,Boston Celtics,6.466955869,2.793891403,10.14002033
1986,2,Boston Celtics,9.057781219,5.386318485,12.72924395
1987,2,Boston Celtics,6.576747919,2.768996949,10.38449889
1988,2,Boston Celtics,6.154022101,2.336813421,9.971230781
1989,2,Boston Celtics,1.25978323,-2.700349326,5.219915786
1990,2,Boston Celtics,3.22722232,-0.560563937,7.015008577
1991,2,Boston Celtics,5.21229152,1.500280557,8.924302483
1992,2,Boston Celtics,3.4156656,-0.332032452,7.163363652
1993,2,Boston Celtics,0.933157421,-2.845647087,4.71196193
1994,2,Boston Celtics,-4.274640681,-8.076267798,-0.473013563
1995,2,Boston Celtics,-1.923238307,-5.66417965,1.817703037
1996,2,Boston Celtics,-3.372569307,-6.948199432,0.203060817
1997,2,Boston Celtics,-6.618033501,-10.08118545,-3.154881548
1998,2,Boston Celtics,-1.960771306,-5.521872838,1.600330225
1999,2,Boston Celtics,-1.749656121,-6.692300214,3.192987972
2000,2,Boston Celtics,-0.996131734,-4.646877744,2.654614276
2001,2,Boston Celtics,-2.398765099,-5.955938838,1.158408639
2002,2,Boston Celtics,1.744448848,-2.065415207,5.554312902
2003,2,Boston Celtics,-0.745170949,-4.422142604,2.931800706
2004,2,Boston Celtics,-1.99324243,-5.516260403,1.529775542
2005,2,Boston Celtics,0.343809356,-3.183990449,3.87160916
2006,2,Boston Celtics,-1.591503714,-5.198914306,2.015906878
2007,2,Boston Celtics,-3.706283407,-7.400101515,-0.0124653
2008,2,Boston Celtics,9.307344394,5.665553628,12.94913516
2009,2,Boston Celtics,7.443882438,3.812644097,11.07512078
2010,2,Boston Celtics,3.373140975,-0.333618047,7.079899996
2011,2,Boston Celtics,4.82516806,1.28167547,8.368660651
2012,2,Boston Celtics,2.260150904,-2.007018058,6.527319866
2013,2,Boston Celtics,-0.617898643,-4.370849094,3.135051809
2013,3,Brooklyn Nets,1.252628633,-2.488575678,4.993832944
2005,4,Charlotte Bobcats,-6.15512581,-9.682925678,-2.627325943
2006,4,Charlotte Bobcats,-3.901235651,-7.508643369,-0.293827933
2007,4,Charlotte Bobcats,-3.969805243,-7.685288125,-0.25432236
2008,4,Charlotte Bobcats,-4.483777914,-8.12532527,-0.842230559
2009,4,Charlotte Bobcats,-1.194110904,-4.825349346,2.437127538
2010,4,Charlotte Bobcats,1.300474261,-2.406287587,5.007236108
2011,4,Charlotte Bobcats,-4.077859694,-7.621354986,-0.534364401
2012,4,Charlotte Bobcats,-13.95789508,-18.19606751,-9.719722653
2013,4,Charlotte Bobcats,-9.29262401,-13.03382689,-5.551421126
1989,19,Charlotte Hornets,-7.735227478,-11.69536003,-3.775094922
1990,19,Charlotte Hornets,-7.006091804,-10.72026117,-3.291922434
1991,19,Charlotte Hornets,-4.951245211,-8.68639333,-1.216097091
1992,19,Charlotte Hornets,-3.571345542,-7.318261747,0.175570664
1993,19,Charlotte Hornets,-0.023541005,-0.023541005,-0.023541005
1994,19,Charlotte Hornets,-0.22583079,-4.027457908,3.575796328
1995,19,Charlotte Hornets,2.860701391,-0.880239921,6.601642703
1996,19,Charlotte Hornets,-0.487084715,-4.062714872,3.088545441
1997,19,Charlotte Hornets,2.12986841,-1.35336263,5.61309945
1998,19,Charlotte Hornets,2.454548775,-1.106317072,6.015414621
1999,19,Charlotte Hornets,0.632340507,-4.348324466,5.61300548
2000,19,Charlotte Hornets,2.337894085,-1.291807165,5.967595336
2001,19,Charlotte Hornets,1.450851897,-2.106321873,5.008025668
2002,19,Charlotte Hornets,0.565331986,-3.244532069,4.37519604
1980,5,Chicago Bulls,-2.629132231,-6.35978475,1.101520287
1981,5,Chicago Bulls,2.343314077,-1.230361806,5.916989959
1982,5,Chicago Bulls,-1.571649235,-5.034550967,1.891252498
1983,5,Chicago Bulls,-4.405759198,-7.796508437,-1.01500996
1984,5,Chicago Bulls,-4.686601811,-8.323532736,-1.049670887
1985,5,Chicago Bulls,-0.496319484,-4.169383949,3.176744981
1986,5,Chicago Bulls,-3.115005762,-6.807272862,0.577261338
